datetime,Latitude,Longitude
2020-02-19 16:31:09,nan,nan
2020-02-19 16:31:12,nan,nan
2020-02-19 16:31:15,nan,nan
2020-02-19 16:31:18,nan,nan
2020-02-19 16:31:21,nan,nan
2020-02-19 16:31:24,nan,nan
2020-02-19 16:31:27,nan,nan
2020-02-19 16:31:30,nan,nan
2020-02-19 16:31:33,nan,nan
2020-02-19 16:31:36,nan,nan
2020-02-19 16:31:39,nan,nan
2020-02-19 16:31:42,nan,nan
2020-02-19 16:31:45,nan,nan
2020-02-19 16:31:48,nan,nan
2020-02-19 16:31:51,nan,nan
2020-02-19 16:31:54,nan,nan
2020-02-19 16:31:57,nan,nan
2020-02-19 16:32:00,nan,nan
2020-02-19 16:32:03,nan,nan
2020-02-19 16:32:06,nan,nan
2020-02-19 16:32:09,nan,nan
2020-02-19 16:32:12,nan,nan
2020-02-19 16:32:15,nan,nan
2020-02-19 16:32:18,nan,nan
2020-02-19 16:32:22,nan,nan
2020-02-19 16:32:25,nan,nan
2020-02-19 16:32:28,nan,nan
2020-02-19 16:32:31,nan,nan
2020-02-19 16:32:34,nan,nan
2020-02-19 16:32:37,nan,nan
2020-02-19 16:32:40,nan,nan
2020-02-19 16:32:43,nan,nan
2020-02-19 16:32:46,nan,nan
2020-02-19 16:32:49,nan,nan
2020-02-19 16:32:52,nan,nan
2020-02-19 16:32:55,nan,nan
2020-02-19 16:32:58,nan,nan
2020-02-19 16:33:01,nan,nan
2020-02-19 16:33:04,nan,nan
2020-02-19 16:33:07,nan,nan
2020-02-19 16:33:10,nan,nan
2020-02-19 16:33:13,nan,nan
2020-02-19 16:33:16,nan,nan
2020-02-19 16:33:19,nan,nan
2020-02-19 16:33:22,nan,nan
2020-02-19 16:33:25,nan,nan
2020-02-19 16:33:28,nan,nan
2020-02-19 16:33:31,nan,nan
2020-02-19 16:33:34,nan,nan
2020-02-19 16:33:37,nan,nan
2020-02-19 16:33:40,nan,nan
2020-02-19 16:33:43,nan,nan
2020-02-19 16:33:46,nan,nan
2020-02-19 16:33:49,nan,nan
2020-02-19 16:33:52,nan,nan
2020-02-19 16:33:55,nan,nan
2020-02-19 16:33:58,nan,nan
2020-02-19 16:34:01,nan,nan
2020-02-19 16:34:04,nan,nan
2020-02-19 16:34:07,nan,nan
2020-02-19 16:34:10,nan,nan
2020-02-19 16:34:13,nan,nan
2020-02-19 16:34:16,nan,nan
2020-02-19 16:34:19,nan,nan
2020-02-19 16:34:22,nan,nan
2020-02-19 16:34:25,nan,nan
2020-02-19 16:34:28,nan,nan
2020-02-19 16:34:31,nan,nan
2020-02-19 16:34:35,nan,nan
